ISO 639-3,ISO 639-2,ISO 639-1,Language Name
,bih,bh,Bihari languages
aar,aar,aa,Afar
abk,abk,ab,Abkhazian
afr,afr,af,Afrikaans
aka,aka,ak,Akan
amh,amh,am,Amharic
ara,ara,ar,Arabic
arg,arg,an,Aragonese
asm,asm,as,Assamese
ava,ava,av,Avaric
ave,ave,ae,Avestan
aym,aym,ay,Aymara
aze,aze,az,Azerbaijani
bak,bak,ba,Bashkir
bam,bam,bm,Bambara
bel,bel,be,Belarusian
ben,ben,bn,Bengali
bis,bis,bi,Bislama
bod,bod / tib* ,bo,Tibetan
bos,bos,bs,Bosnian
bre,bre,br,Breton
bul,bul,bg,Bulgarian
cat,cat,ca,Catalan
ces,ces / cze* ,cs,Czech
cha,cha,ch,Chamorro
che,che,ce,Chechen
chu,chu,cu,Church Slavic
chv,chv,cv,Chuvash
cor,cor,kw,Cornish
cos,cos,co,Corsican
cre,cre,cr,Cree
cym,cym / wel* ,cy,Welsh
dan,dan,da,Danish
deu,deu / ger* ,de,German
div,div,dv,Dhivehi
dzo,dzo,dz,Dzongkha
ell,ell / gre* ,el,Modern Greek (1453-)
eng,eng,en,English
epo,epo,eo,Esperanto
est,est,et,Estonian
eus,eus / baq* ,eu,Basque
ewe,ewe,ee,Ewe
fao,fao,fo,Faroese
fas,fas / per* ,fa,Persian
fij,fij,fj,Fijian
fin,fin,fi,Finnish
fra,fra / fre* ,fr,French
fry,fry,fy,Western Frisian
ful,ful,ff,Fulah
gla,gla,gd,Scottish Gaelic
gle,gle,ga,Irish
glg,glg,gl,Galician
glv,glv,gv,Manx
grn,grn,gn,Guarani
guj,guj,gu,Gujarati
hat,hat,ht,Haitian
hau,hau,ha,Hausa
heb,heb,he,Hebrew
her,her,hz,Herero
hin,hin,hi,Hindi
hmo,hmo,ho,Hiri Motu
hrv,hrv,hr,Croatian
hun,hun,hu,Hungarian
hye,hye / arm* ,hy,Armenian
ibo,ibo,ig,Igbo
ido,ido,io,Ido
iii,iii,ii,Sichuan Yi
iku,iku,iu,Inuktitut
ile,ile,ie,Interlingue
ina,ina,ia,Interlingua (International Auxiliary Language Association)
ind,ind,id,Indonesian
ipk,ipk,ik,Inupiaq
isl,isl / ice* ,is,Icelandic
ita,ita,it,Italian
jav,jav,jv,Javanese
jpn,jpn,ja,Japanese
kal,kal,kl,Kalaallisut
kan,kan,kn,Kannada
kas,kas,ks,Kashmiri
kat,kat / geo* ,ka,Georgian
kau,kau,kr,Kanuri
kaz,kaz,kk,Kazakh
khm,khm,km,Khmer
kik,kik,ki,Kikuyu
kin,kin,rw,Kinyarwanda
kir,kir,ky,Kirghiz
kom,kom,kv,Komi
kon,kon,kg,Kongo
kor,kor,ko,Korean
kua,kua,kj,Kuanyama
kur,kur,ku,Kurdish
lao,lao,lo,Lao
lat,lat,la,Latin
lav,lav,lv,Latvian
lim,lim,li,Limburgan
lin,lin,ln,Lingala
lit,lit,lt,Lithuanian
ltz,ltz,lb,Luxembourgish
lub,lub,lu,Luba-Katanga
lug,lug,lg,Ganda
mah,mah,mh,Marshallese
mal,mal,ml,Malayalam
mar,mar,mr,Marathi
mkd,mkd / mac* ,mk,Macedonian
mlg,mlg,mg,Malagasy
mlt,mlt,mt,Maltese
mon,mon,mn,Mongolian
mri,mri / mao* ,mi,Maori
msa,msa / may* ,ms,Malay (macrolanguage)
mya,mya / bur* ,my,Burmese
nau,nau,na,Nauru
nav,nav,nv,Navajo
nbl,nbl,nr,South Ndebele
nde,nde,nd,North Ndebele
ndo,ndo,ng,Ndonga
nep,nep,ne,Nepali (macrolanguage)
nld,nld / dut* ,nl,Dutch
nno,nno,nn,Norwegian Nynorsk
nob,nob,nb,Norwegian Bokmål
nor,nor,no,Norwegian
nya,nya,ny,Nyanja
oci,oci,oc,Occitan (post 1500)
oji,oji,oj,Ojibwa
ori,ori,or,Oriya (macrolanguage)
orm,orm,om,Oromo
oss,oss,os,Ossetian
pan,pan,pa,Panjabi
pli,pli,pi,Pali
pol,pol,pl,Polish
por,por,pt,Portuguese
pus,pus,ps,Pushto
que,que,qu,Quechua
roh,roh,rm,Romansh
ron,ron / rum* ,ro,Romanian
run,run,rn,Rundi
rus,rus,ru,Russian
sag,sag,sg,Sango
san,san,sa,Sanskrit
sin,sin,si,Sinhala
slk,slk / slo* ,sk,Slovak
slv,slv,sl,Slovenian
sme,sme,se,Northern Sami
smo,smo,sm,Samoan
sna,sna,sn,Shona
snd,snd,sd,Sindhi
som,som,so,Somali
sot,sot,st,Southern Sotho
spa,spa,es,Spanish
sqi,sqi / alb* ,sq,Albanian
srd,srd,sc,Sardinian
srp,srp,sr,Serbian
ssw,ssw,ss,Swati
sun,sun,su,Sundanese
swa,swa,sw,Swahili (macrolanguage)
swe,swe,sv,Swedish
tah,tah,ty,Tahitian
tam,tam,ta,Tamil
tat,tat,tt,Tatar
tel,tel,te,Telugu
tgk,tgk,tg,Tajik
tgl,tgl,tl,Tagalog
tha,tha,th,Thai
tir,tir,ti,Tigrinya
ton,ton,to,Tonga (Tonga Islands)
tsn,tsn,tn,Tswana
tso,tso,ts,Tsonga
tuk,tuk,tk,Turkmen
tur,tur,tr,Turkish
twi,twi,tw,Twi
uig,uig,ug,Uighur
ukr,ukr,uk,Ukrainian
urd,urd,ur,Urdu
uzb,uzb,uz,Uzbek
ven,ven,ve,Venda
vie,vie,vi,Vietnamese
vol,vol,vo,Volapük
wln,wln,wa,Walloon
wol,wol,wo,Wolof
xho,xho,xh,Xhosa
yid,yid,yi,Yiddish
yor,yor,yo,Yoruba
zha,zha,za,Zhuang
zho,zho / chi* ,zh,Chinese
zul,zul,zu,Zulu
